Températures[25],,,,,,,,,,,,,,,,,,,,,,,,
5,227,283,394,450,505,561,617,672,728,783,839,895,950,1117,1256,1395,1534,1673,1812,1951,2090,2229,2368,2507
,,,,,,,,,,,,,,,,,,,,,,,,
pCO2H2O_L[18],,,,,,,,,,,,,,,,,,,,,,,,
0,0.022,0.03,0.038,0.051,0.063,0.073,0.094,0.112,0.142,0.163,0.199,0.229,0.25,0.294,0.329,0.375,0.438,,,,,,,
0,0.02,0.028,0.035,0.048,0.059,0.069,0.089,0.106,0.135,0.155,0.19,0.22,0.241,0.284,0.32,0.366,0.425,,,,,,,
0,0.019,0.026,0.033,0.045,0.055,0.065,0.084,0.101,0.129,0.149,0.184,0.212,0.232,0.276,0.31,0.356,0.415,,,,,,,
0,0.017,0.024,0.031,0.042,0.052,0.061,0.08,0.095,0.123,0.143,0.176,0.203,0.225,0.268,0.3,0.347,0.405,,,,,,,
0,0.016,0.021,0.028,0.039,0.049,0.057,0.076,0.09,0.117,0.137,0.17,0.196,0.218,0.259,0.29,0.337,0.395,,,,,,,
0,0.015,0.019,0.026,0.036,0.046,0.054,0.071,0.086,0.112,0.13,0.163,0.188,0.21,0.25,0.281,0.327,0.382,,,,,,,
0,0.012,0.018,0.024,0.034,0.043,0.051,0.068,0.082,0.107,0.125,0.156,0.181,0.201,0.24,0.271,0.317,0.371,,,,,,,
0,0.01,0.014,0.023,0.032,0.04,0.048,0.064,0.077,0.102,0.12,0.15,0.175,0.194,0.231,0.262,0.308,0.36,,,,,,,
0,0.008,0.012,0.018,0.026,0.033,0.04,0.054,0.066,0.088,0.105,0.133,0.155,0.174,0.21,0.237,0.279,0.328,,,,,,,
0,0.006,0.01,0.015,0.022,0.028,0.034,0.047,0.058,0.078,0.094,0.119,0.14,0.157,0.191,0.218,0.257,0.301,,,,,,,
0,0.004,0.008,0.013,0.018,0.024,0.029,0.04,0.05,0.069,0.083,0.107,0.127,0.142,0.175,0.2,0.235,0.28,,,,,,,
0,0.003,0.007,0.011,0.016,0.02,0.025,0.035,0.044,0.061,0.074,0.097,0.115,0.13,0.16,0.184,0.218,0.26,,,,,,,
0,0.002,0.006,0.009,0.013,0.017,0.021,0.03,0.039,0.054,0.066,0.088,0.105,0.118,0.146,0.17,0.2,0.24,,,,,,,
0,0.003,0.005,0.007,0.011,0.015,0.018,0.026,0.034,0.048,0.059,0.079,0.094,0.107,0.134,0.155,0.184,0.222,,,,,,,
0,0.002,0.004,0.006,0.009,0.012,0.015,0.023,0.03,0.042,0.053,0.071,0.085,0.097,0.122,0.143,0.17,0.205,,,,,,,
0,0.001,0.003,0.005,0.008,0.01,0.013,0.02,0.026,0.037,0.047,0.064,0.078,0.088,0.112,0.132,0.156,0.19,,,,,,,
0,0.002,0.003,0.004,0.007,0.009,0.011,0.017,0.023,0.033,0.042,0.058,0.07,0.08,0.103,0.121,0.144,0.176,,,,,,,
0,0.001,0.002,0.003,0.006,0.008,0.01,0.015,0.02,0.029,0.038,0.052,0.063,0.073,0.095,0.111,0.132,0.162,,,,,,,
0,0,0.003,0.002,0.005,0.006,0.009,0.013,0.018,0.026,0.034,0.047,0.058,0.066,0.088,0.103,0.123,0.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
T_correcH2O[5],,,,,,,,,,,,,,,,,,,,,,,,
0,0.2,0.4,0.6,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
pH2O_L[8],,,,,,,,,,,,,,,,,,,,,,,,
0,0.016,0.08,0.16,0.3,0.8,1.6,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
correc_H2O[8][5],,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
1.15,1.15,1.13,1.11,1.1,1.09,1.08,1.07,,,,,,,,,,,,,,,,,
1.28,1.28,1.25,1.22,1.18,1.16,1.14,1.12,,,,,,,,,,,,,,,,,
1.4,1.4,1.34,1.29,1.26,1.23,1.19,1.15,,,,,,,,,,,,,,,,,
1.58,1.58,1.52,1.44,1.38,1.32,1.26,1.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
pCO2H2O_L_correc[10],,,,,,,,,,,,,,,,,,,,,,,,
0,0.061,0.091,0.15,0.23,0.305,0.46,0.61,0.915,1.52,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
pH20_pH2OCO2_correc[11],,,,,,,,,,,,,,,,,,,,,,,,
0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Superposition_H2O_CO2_a_126_oC,,,,,,,,,,,,,,,,,,,,,,,,
correc126[10][11],,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0.005,0.01,,,,,,,,,,,,,,,
0,0,0,0,0,0.001,0.003,0.005,0.012,0.017,,,,,,,,,,,,,,,
0,0,0,0,0.002,0.004,0.007,0.01,0.019,0.024,,,,,,,,,,,,,,,
