,,yes,Vertical,perpendiculaire,avec,plaque,Regeneratif Air,Aucun,plaques,Sur la charge
,,no,Horizontal,parallèle,sans,rond,Air chaud,dans la longueur,tubes,Sur paroi
,,,,,,couronne,Air froid,dans la largeur,,
